Kabupaten/Kota,Kelompok,Jenis,Satuan,2014,2017,2018
Ogan_Komering_Ulu,Perikanan_Budidaya,Tambak,Ton,26238.5,667.0,416.0
Ogan_Komering_Ilir,Perikanan_Budidaya,Tambak,Ton,87437.5,148512.0,71093.0
Muara_Enim,Perikanan_Budidaya,Tambak,Ton,13956.7,211517.0,4964.0
Lahat,Perikanan_Budidaya,Tambak,Ton,26461.0,2509.0,35.0
Musi_Rawas,Perikanan_Budidaya,Tambak,Ton,57346.3,15894.0,70334.0
Musi_Banyuasin,Perikanan_Budidaya,Tambak,Ton,40526.7,66578.0,80023.0
Banyuasin,Perikanan_Budidaya,Tambak,Ton,47336.3,22132.0,40458.0
Ogan_Komering_Ulu_Selatan,Perikanan_Budidaya,Tambak,Ton,40806.9,46308.0,823.0
Ogan_Komering_Ulu_Timur,Perikanan_Budidaya,Tambak,Ton,46282.7,5212.0,44957.0
Ogan_Ilir,Perikanan_Budidaya,Tambak,Ton,32392.4,5204.0,7967.0
Empat_Lawang,Perikanan_Budidaya,Tambak,Ton,5422.6,3818.0,416.0
Pali,Perikanan_Budidaya,Tambak,Ton,0.0,0.0,251.0
Musi_Rawas_Utara,Perikanan_Budidaya,Tambak,Ton,0.0,10.0,6212.0
Palembang,Perikanan_Budidaya,Tambak,Ton,24259.4,100.0,61494.0
Prabumulih,Perikanan_Budidaya,Tambak,Ton,5063.8,1211.0,603.0
Pagar_Alam,Perikanan_Budidaya,Tambak,Ton,16202.7,3745.0,32041.0
Lubuk_Linggau,Perikanan_Budidaya,Tambak,Ton,17465.5,4864.0,16972.0
