videoId,channelId,title,description,publishAt,videoUrl,countries,likeCount,topLevelComment
DL_Z3lmbA1w,UCbta5UYAzeIOQAL7-A4s0WA,ASMR MUKBANG PITBULL EATING RAW FOOD DEER LEG,THANK YOU FOR WATCHING THE VIDEO. PLEASE SUBSCRIBE TO THE CHANNEL.,2021-04-05T02:00:18Z,https://www.youtube.com/watch?v=DL_Z3lmbA1w,US,211,"['Little red riding bounce', 'it takes almost half an hour for him to eat it.. dont you think its to hard for him?', 'Wow']"
YbjgE4ZNKX0,UCRtoqRleHkDQRVgN9OwV6TA,ASMR MUKBANG | 치즈 불닭볶음면 &amp; 치토스 대왕 통 가래떡 튀김 핫도그 딸기 먹방 &amp; 레시피 FIRE NOODLES AND Tteokbokki EATING,오늘은 치토스 리메이크 먹방! 재밌게 봐주세요^^ 시오 구독하기   https://goo.gl/azcgUX 시오 인스타그램   ...,2023-02-07T13:15:02Z,https://www.youtube.com/watch?v=YbjgE4ZNKX0,KR,10753,"['follow me ♥ \r<br><a href=""https://www.instagram.com/sio_yo/"">https://www.instagram.com/sio_yo/</a> \r<br>\r<br>I ate Cheetos today.\r<br>Please enjoy it :)\r<br>오늘은 치토스 리메이크 먹방!\r<br>재밌게 봐주세요^^', '시오❤❤', 'watching your videos helps me eat full meals. sometime i struggle to eat a good meal but with your help, i can do it!']"
YiMvrVhhhIk,UCx_7Isnu10jfrlV7m1Fz06A,ASMR MUKBANG | SPICY MUSHROOM FIRE NOODLE CHICKEN SAUSAGE EATING 불닭 버섯 팽이버섯 불닭볶음면 소세지 양념치킨 소스 듬뿍! 먹방,"MUKBANG #MUSHROOM #FIRENOODLE #CHICKEN Hello. Today's menu is spicy mushrooms, spicy chicken, fire noodles and ...",2022-02-17T13:40:00Z,https://www.youtube.com/watch?v=YiMvrVhhhIk,KR,74120,"['Hi guys!😁<br>Today&#39;s menu is spicy mushrooms, spicy chicken🍗, fire noodles🔥 and sausage.<br>Please enjoy it and subscribe to it. I hope you enjoy it.<br>And if you have any food menu you want to see, please leave a comment.', 'Ele põe muita comida na boca, não tem precisão de fazer isso.fique com Deus, Deus te abençoe sempre', 'Tôi có thể dành 1 ngày để xem video của cậu!']"
Sikhmw_U214,UCx_7Isnu10jfrlV7m1Fz06A,ASMR MUKBANG | BURGERS 🍔 KFC CHICKEN 🍗 FRENCH FRIES 🍟 EATING 햄버거 양념치킨 감자튀김 소스 퐁당! 먹방,"KFC #BURGER #CHICKEN #MUKBANG Hello. Today's menu is Burgers, KFC fried chicken, french fries with chili sauce and ...",2021-09-05T13:40:02Z,https://www.youtube.com/watch?v=Sikhmw_U214,KR,110287,"['Hi guys!😁<br>Today&#39;s menu is Burgers🍔, KFC fried chicken🍗, french fries🍟 with chili sauce🌶 and cheese sauce🧀.<br>Thank you for watching my video today♥<br>If you write a comment in Korean🇰🇷, I will reply.<br>I will reward you with a pleasant video. Thank you for always♥<br>Please subscribe and like♡', 'Sarange💖💖💖', 'Robot']"
7aRInE1_gMA,UCx_7Isnu10jfrlV7m1Fz06A,ASMR MUKBANG | BLACK BEAN NOODLE SPICY OCTOPUS MUSHROOM🐙 SEAFOOD BOIL 짜파게티 쭈꾸미 볶음 먹방 EATING SOUND,BLACKBEANNOODLE #OCTOPUS #MUKBANG Hello. Today's menu is spicy stir-fried baby octopus and black bean noodles and ...,2021-03-07T13:30:01Z,https://www.youtube.com/watch?v=7aRInE1_gMA,KR,24814,"['Hi guys!🤗<br>Today&#39;s menu is spicy stir-fried baby octopus and black bean noodles and mushrooms with fire sauce. (The white sauce is mayonnaise)<br>Please enjoy it and subscribe to it. I hope you enjoy it.<br>And if you have any food menu you want to see, please leave a comment.<br>Thank you for watching my video today♥<br>I will reward you with a pleasant video. Thank you for always♥<br>Please subscribe and like♡<br>Good luck🍀', 'انت لطيف 🤎❣', 'Are you jimmin']"
7aRInE1_gMA,UCx_7Isnu10jfrlV7m1Fz06A,ASMR MUKBANG | BLACK BEAN NOODLE SPICY OCTOPUS MUSHROOM🐙 SEAFOOD BOIL 짜파게티 쭈꾸미 볶음 먹방 EATING SOUND,BLACKBEANNOODLE #OCTOPUS #MUKBANG Hello. Today's menu is spicy stir-fried baby octopus and black bean noodles and ...,2021-03-07T13:30:01Z,https://www.youtube.com/watch?v=7aRInE1_gMA,KR,24814,"['Hi guys!🤗<br>Today&#39;s menu is spicy stir-fried baby octopus and black bean noodles and mushrooms with fire sauce. (The white sauce is mayonnaise)<br>Please enjoy it and subscribe to it. I hope you enjoy it.<br>And if you have any food menu you want to see, please leave a comment.<br>Thank you for watching my video today♥<br>I will reward you with a pleasant video. Thank you for always♥<br>Please subscribe and like♡<br>Good luck🍀', 'انت لطيف 🤎❣', 'Are you jimmin']"
itEJe4cZheo,UCx_7Isnu10jfrlV7m1Fz06A,ASMR MUKBANG | BEEF RIB STEAK 🥩 BLACK BEAN NOODLE MUSHROOM EATING 짜파게티 토마호크 스테이크 버섯 소스 듬뿍! 먹방,STEAK #BLACKBEANNOODLE #MUKBANG Hello. Today's menu is beef rib steak and black bean noodles and mushrooms.,2021-10-28T13:40:00Z,https://www.youtube.com/watch?v=itEJe4cZheo,KR,50226,"['Hi guys!😁<br>Today&#39;s menu is beef rib steak and black bean noodles and mushrooms.<br>Thank you for watching my video today♥<br>If you write a comment in Korean🇰🇷, I will reply.<br>I will reward you with a pleasant video. Thank you for always♥<br>Please subscribe and like♡', '200/10', 'love from Bangladesh 🇧🇩❣️']"
QsZoN1UnC2c,UCx_7Isnu10jfrlV7m1Fz06A,"ASMR CHOCOLATE MUKBANG 🍫 초콜릿 디저트 먹방 NUTELLA, CHOCO ICE CREAM, CAKE, COOKIES, DESSERT EATING SOUNDS","CHOCOLATE #DESSERT #MUKBANG Hello Today menu is various popular chocolate desserts(nutella, ice cream bars, cookies, ...",2020-05-16T13:30:02Z,https://www.youtube.com/watch?v=QsZoN1UnC2c,KR,4651,"['Lembra de min? 😀', 'Boa noite', '😀😁😂🤣😃😄😅😘😍😎😋😊😉😆😗😙😚☺️🙂🤗🤩🤔🤨😐😑😶🙄😏😫😪😯🤐😮😥😣😴😌😛😜😝🤤😒😓😔😕🙃🤑😲☹️😭😢😤😟😞😖🙁😦😧😨😩🤯😬😰☹️😱😳🤪😵😡😠🤬😇🤧🤮🤢🤕🤒😷🤠🤥🤫🤭🧐🤓😈👿🤡💩🍇🍈🍉🍊🍋🍌🍍🥝🍓🍒🍑🍐🍏🍎🍅🥥🥑🍆🥔🥕🌽🌶️🥒🥦🍄🥜🌰🍞🍗🧀🧀🥞🥨🥖🥐🥩🥓🍔🍟🍕🌭🥪🌮🌯🥙🥚🍳🥘🍲🍙🍘🍱🥫🍿🥗🥣🍚🍛🍜🍝🍠🍢🍣🍤🍥🍡🥟🥠🥡🍦🥧🍰🎂🍪🍩🍨🍧🍫🍬🍭🍮🍯🍼🥛☕🍵🍶🍾🍷🍸🍹🍽️🥢🥤🥃🥂🍻🍺🍴🥄🔪🏺🌍🌎🌏🌋🏀⚾⚽🏐🏈🏉🏁🚩📳♀️♂️']"
lArqN_zu5tw,UCOBZeasbz1kDUCSuQNUIcaw,TURTLE TORTOISE ASMR EATING FOOD MUKBANG 먹방 🐢83,TURTLE TORTOISE ASMR EATING FOOD MUKBANG 먹방 0:00 Strawberry 0:48 Blueberry 1:44 Pumpkin 2:52 Broccoli Animal ...,2021-03-14T21:00:16Z,https://www.youtube.com/watch?v=lArqN_zu5tw,US,406095,"['<a href=""https://www.youtube.com/watch?v=lArqN_zu5tw&amp;t=0m00s"">0:00</a> Strawberry\r<br><a href=""https://www.youtube.com/watch?v=lArqN_zu5tw&amp;t=0m48s"">0:48</a> Blueberry\r<br><a href=""https://www.youtube.com/watch?v=lArqN_zu5tw&amp;t=1m44s"">1:44</a> Pumpkin\r<br><a href=""https://www.youtube.com/watch?v=lArqN_zu5tw&amp;t=2m52s"">2:52</a> Broccoli', 'So between ASMR is a Sex-Fetish... I hope you know that the People jack off this...', '\u200b&lt;&lt;&lt;&lt;&lt;&lt;tarumlüg rutangisnetauq Programmierer der Master K. I.&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;']"
xTb9bSHt6mA,UCOBZeasbz1kDUCSuQNUIcaw,ASMR Cute Turtle Tortoise Eating CHOY SUM Vegetable Mukbang 95 | Animal ASMR,Choy Sum ASMR Cute Animal Pet Turtle Tortoise Eating Food Mukbang Vegetable Animal ASMR Turtle Tortoise 95th Video Like ...,2021-07-08T13:00:12Z,https://www.youtube.com/watch?v=xTb9bSHt6mA,US,6904,"['poor thing wants bacon!', '😇😇🥰🥰', 'This is so cute 🥰']"
